market_name,mic,operating_mic,website
SIGMA X MTF - NEGOTIATED TRADE,SGMZ,SGMX,HTTP://GSET.GS.COM/SIGMAXMTF/
PARNDF,PFXD,TRDE,WWW.PARFX.COM
TURQUOISE NYLON CLEARED CONTRACT,TRQC,TRQX,WWW.TRADETURQUOISE.COM
GOLDMAN SACHS INTERNATIONAL - SIGMA BCN,GSBX,GSIL,WWW.GOLDMANSACHS.COM/GSET
POSIT MTF,ITGL,ITGL,WWW.VIRTU.COM
AMMAN STOCK EXCHANGE,XAMM,XAMM,WWW.EXCHANGE.JO
AMMAN STOCK EXCHANGE - NON-LISTED SECURITIES MARKET,AMNL,XAMM,WWW.EXCHANGE.JO
BETA MARKET,BETA,XBUD,WWW.BSE.HU
VIRTU FINANCIAL IRELAND LIMITED (LONDON BRANCH) - SYSTEMATIC INTERNALISER,VFGB,VFGB,WWW.VIRTU.COM
VIRTU FINANCIAL IRELAND LIMITED (LONDON BRANCH) - SYSTEMATIC INTERNALISER,VFUK,VFUK,WWW.VIRTU.COM
SEB LITHUANIA - SYSTEMATIC INTERNALISER,SEBL,SEBL,WWW.SEB.LT
POSIT DARK UK,XPOL,VIUK,WWW.ITG.COM
POSIT AUCTION UK,XPAL,VIUK,WWW.VIRTU.COM
POSIT UK,VIUK,VIUK,WWW.VIRTU.COM
INTELLIGENTCROSS ASPEN INVERTED,ASPI,INCR,WWW.INTELLIGENTCROSS.COM
INTELLIGENTCROSS ASPEN MAKER/TAKER,ASMT,INCR,WWW.INTELLIGENTCROSS.COM
INTELLIGENTCROSS ASPEN INTELLIGENT BID/OFFER,ASPN,INCR,WWW.INTELLIGENTCROSS.COM
"NYSE NATIONAL, INC. - DARK",CISD,XNYS,WWW.NYSE.COM
CREDIT SUISSE (DEUTSCHLAND) AG - SYSTEMATIC INTERNALISER,CDSI,CSDA,WWW.CREDIT-SUISSE.COM
EBS MTF - RESET SEGMENT,RESF,EBSN,WWW.NEX.COM
EBS MTF - FX PRODUCTS - RFQ SEGMENT,EBSF,EBSN,WWW.NEX.COM
24 EXCHANGE,24EX,24EX,WWW.24EXCHANGE.NET
BB SECURITIES LTD,BBSX,BBSX,
JUMP LIQUIDITY - SYSTEMATIC INTERNALISER,JLSI,JLSI,WWW.JUMPTRADING.COM
SCOTTISH STOCK EXCHANGE,SCOT,SCOT,HTTPS://PROJECTHEATHER.SCOT/
BOERSE STUTTGART - DIGITAL EXCHANGE,XDEX,XSTU,WWW.BOERSE-STUTTGART.DE
DOWGATE EURO GOVERNMENT BONDS,DOWE,DOWM,WWW.KSCM.ES
SPECTRUM MARKETS,SPEX,SPEX,WWW.SPECTRUM-MARKETS.COM
ICE FUTURES ABU DHABI,IFAD,IFAD,WWW.THEICE.COM
JUMP LIQUIDITY - MULTI-ASSET PLATFORM,JLQD,JLQD,WWW.JUMPLIQUIDITY.COM
LAMPOST CAPITAL,LAMP,LAMP,WWW.THELAMPOST.COM
RBC CAPITAL MARKETS ARBITRAGE S.A.,RCMA,RCMA,WWW.RBC.COM
WARSAW STOCK EXCHANGE - SPO BOOK BUILDING,WOPO,XWAR,WWW.WSE.PL
EBS MTF - RFQ - FX PRODUCTS FOR ASSET MANAGERS,IEBS,EBSN,WWW.NEX.COM
ERSX,ERIS,ERIS,WWW.ERISX.COM
MARKET SECURITIES (FRANCE) SA,MKTF,MKTF,WWW.MARKET-SECURITIES.COM
MARKETAXESS ATS,MKAA,MTXX,WWW.MARKETAXESS.COM
SOCIETE GENERALE (LONDON BRANCH) - SYSTEMATIC INTERNALISER,XSGB,XSGB,HTTPS://WHOLESALE.BANKING.SOCIETEGENERALE.COM/
"COMHAR CAPITAL MARKETS, LLC - US EQUITIES",YKNA,YKNA,
CITIGROUP GLOBAL MARKETS  EUROPE AG - EMEA TRADING,CGET,CGMD,WWW.CITIGROUP.DE
CREDIT SUISSE AKTIENGESELLSCHAFT,CSDA,CSDA,WWW.CREDIT-SUISSE.COM
DOWGATE - MTF (MADRID),DOWM,DOWM,WWW.KSCM.ES
GSX CHINA,GSXC,GSXC,WWW.GSET.GS.COM
GSX KOREA,GSXK,GSXK,WWW.GSET.GS.COM
GSX TAIWAN,GSXT,GSXT,WWW.GSET.GS.COM
VIRTUAL AUCTION GLOBAL MARKETS - MTF,VAGM,VAGM,WWW.VIRTUALAUCTIONGLOBAL.COM
EUREX BONDS,XEUB,XETR,WWW.EUREX-BONDS.COM
BMO CAPITAL MARKETS LIMITED,BMCM,BMCM,WWW.BMOCM.COM
EUROPEAN WHOLESALE SECURITIES MARKET,EWSM,EWSM,WWW.EWSM.EU
GXG MARKETS A/S,GXGR,GXGR,WWW.GXGMARKETS.COM
GXG MTF,GXGM,GXGR,WWW.GXGMARKETS.COM
GXG MTF FIRST QUOTE,GXGF,GXGR,WWW.GXGMARKETS.COM
NORDIC SME,NSME,XNGM,WWW.NGM.SE
ALPHA BANK - SYSTEMATIC INTERNALISER,ABFI,ABFI,WWW.ALPHA.GR
CBOE EUROPE - DXE PERIODIC (NL),BEUP,CCXE,WWW.CBOE.COM/EUROPE/EQUITIES/
CBOE EUROPE - BXE OFF-BOOK (NL),BEUF,CCXE,HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/
CBOE EUROPE - DXE DARK ORDER BOOK (NL),CEUD,CCXE,WWW.CBOE.COM/EUROPE/EQUITIES/
CBOE EUROPE - BXE DARK ORDER BOOK (NL),BEUD,CCXE,HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/
CBOE EUROPE - DXE ORDER BOOKS (NL),CEUX,CCXE,WWW.CBOE.COM/EUROPE/EQUITIES/
CBOE EUROPE - DXE OFF-BOOK (NL),CEUO,CCXE,WWW.CBOE.COM/EUROPE/EQUITIES/
CBOE EUROPE - BXE ORDER BOOKS (NL),BEUE,CCXE,HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/
DASH ATS,DASH,DASH,WWW.DASHFINANCIAL.COM
MOSCOW EXCHANGE - ALL MARKETS,MISX,MISX,WWW.MOEX.COM
BUDAPEST STOCK EXCHANGE - XBOND,XBND,XBUD,WWW.BET.HU
INSTINET BLOCKCROSS ATS,BLKX,XINS,WWW.INSTINET.COM
WARSAW STOCK EXCHANGE/POLISH POWER EXCHANGE/REGULATED MARKET,PLPD,XWAR,WWW.TGE.PL
BANK OF AMERICA MERRILL LYNCH - JAPAN INSTINCT X,BAJD,BAJD,WWW.BOFAML.COM
NOMURA - EXTERNAL CROSSING PLATFORM,NMSX,NMRJ,WWW.NOMURA.COM
LONDON STOCK EXCHANGE - CURVEGLOBAL MARKETS,XLOD,XLON,WWW.LONDONSTOCKEXCHANGE.COM
LAVAFX,LAFX,LAVA,WWW.LAVAFX.COM
NEO EXCHANGE - NEO-L (MARKET BY ORDER),NEOE,NEOE,WWW.NEOSTOCKEXCHANGE.COM
NEO EXCHANGE - NEO-D (DARK),NEOD,NEOE,WWW.NEOSTOCKEXCHANGE.COM
NEO EXCHANGE - NEO-N (MARKET BY PRICE),NEON,NEOE,WWW.NEOSTOCKEXCHANGE.COM
NEO CONNECT,NEOC,NEOE,WWW.NEOSTOCKEXCHANGE.COM
MERJ EXCHANGE LIMITED,TRPX,TRPX,WWW.MERJ.EXCHANGE
"KOMERCNI BANKA, A.S.",KOME,KOME,WWW.KB.CZ
TOWER RESEARCH CAPITAL TRCX,TRCX,TRCX,WWW.TOWER-RESEARCH.COM
EUROBANK - SYSTEMATIC INTERNALISER,ERBX,ERBX,WWW.EUROBANK.GR
FLOW TRADERS - SYSTEMATIC INTERNALISER,FLTR,FLWX,WWW.FLOWTRADERS.COM
IBERCAJA BANCO SA,IBER,IBER,WWW.IBERCAJA.ES
ALLT - OTF,ALLT,ALLT,WWW.ALLTRADING.COM
CBOE EUROPE - BXE ORDER BOOKS,BATE,BCXE,WWW.MARKETS.CBOE.COM/EUROPE/EQUITIES/OVERVIEW/
CBOE EUROPE - BXE OFF-BOOK,BATF,BCXE,WWW.MARKETS.CBOE.COM/EUROPE/EQUITIES/OVERVIEW/
CBOE EUROPE - BXE DARK ORDER BOOK,BATD,BCXE,WWW.MARKETS.CBOE.COM/EUROPE/EQUITIES/OVERVIEW/
BANQUE INTERNATIONALE A LUXEMBOURG S.A. - SYSTEMATIC INTERNALISER,BILU,BILU,WWW.BIL.COM
CME AMSTERDAM B.V. - RFQ TRADING PROTOCOL,BTQE,BTAM,WWW.NEX.COM
BROKERTEC EUROPE LIMITED - RFQ TRADING PROTOCOL,BTQG,BTEE,WWW.BROKERTEC.COM/
"CESKOSLOVENSKA OBCHODNA BANKA, A.S. - SYSTEMATIC INTERNALISER",CBSK,CBSK,WWW.CSOB.SK
CODA MARKETS - MICRO AND BLOCK,CODA,CODA,WWW.CODAMARKETS.COM
CODA MARKETS,PDQX,PDQX,WWW.PDQENTERPRISES.COM
SUMITOMO MITSUI BANKING CORPORATION - DUESSELDORF BRANCH - SYSTEMATIC INTERNALISER,SMBD,SMBD,WWW.SMBCGROUP.COM
STIFEL NICOLAUS EUROPE LIMITED - SYSTEMATIC INTERNALISER,STFL,STFL,WWW.STIFEL.COM/INSTITUTIONAL/STIFELEUROPE
ALTEX - ATS,XALT,XALT,WWW.ALTEX-ATS.CO.UK
BRATISLAVA STOCK EXCHANGE - MTF,EBRA,XBRA,WWW.BSSE.SK
CAN - ATS,XCAN,XBSE,WWW.BVB.RO
RM-SYSTEM CZECH STOCK EXCHANGE - MTF,XRMO,XRMZ,WWW.RMSYSTEM.CZ
WARSAW STOCK EXCHANGE/ EQUITIES/NEW CONNECT - MTF,XNCO,XWAR,WWW.NEWCONNECT.PL
KNIGHT MATCH ATS,KNMX,KNIG,WWW.KNIGHT.COM
SAGETRADER,SAGE,SAGE,WWW.SAGETRADER.COM
ARCHAX,ARCH,ARCH,WWW.ARCHAX.COM
EXPERT MARKET,EXPM,OTCM,WWW.OTCMARKETS.COM
EURONEXT BLOCKS,TNLK,XBRU,WWW.EURONEXT.COM
TORONTO STOCK EXCHANGE - DRK,XDRK,XTSE,WWW.TSX.COM
TSX VENTURE EXCHANGE - DRK,VDRK,XTSX,WWW.TSX.COM
GFI PARIS - OTF,GFPO,AURB,WWW.AUREL-BGC.COM
"JPMS, LLC",JPMS,JPMS,WWW.JPMORGAN.COM/COUNTRY/US/EN/CIB/MARKETS-INVESTOR-SERVICES/AQUA
SANTANDER UK - SYSTEMATIC INTERNALISER,SNUK,SNUK,WWW.SANTANDERGCB.CO.UK
ARKONIS,ARKX,ARKX,WWW.NEXSMART.COM
"PUMA CAPITAL, LLC - OPTIONS",PUMX,PUMA,WWW.PUMACAP.COM
SAINT VINCENT AND THE GRENADINES SECURITIES EXCHANGE,SVXI,SVXI,WWW.SVGEX.COM
VWD - APA SERVICE,VWDA,VWDX,WWW.TRANSACTIONSOLUTIONS.DE
ALBANIA SECURITIES EXCHANGE,XALS,XALS,WWW.ALSE.AL
BERENBERG FIXED INCOME UK - SYSTEMATIC INTERNALISER,BGFU,BGUK,WWW.BERENBERG.COM
CITIGROUP GLOBAL MARKETS EUROPE AG - LONDON BRANCH - SYSTEMATIC INTERNALISER,CGMG,CGMG,WWW.CITIGROUP.COM/CITI
"PUMA CAPITAL, LLC",PUMA,PUMA,WWW.PUMACAP.COM
4 AFRICA EXCHANGE (PTY) LTD,4AXE,4AXE,WWW.4AX.CO.ZA
MTS CZECH REPUBLIC,MCZK,XMTS,
MTS HUNGARY,HUNG,XMTS,
EBM,EMTS,XMTS,WWW.EUROMTS-LTD.COM
MTS AUSTRIA,MTSA,XMTS,WWW.MTSAUSTRIA.COM
MTS GERMANY,GMTS,XMTS,WWW.MTSGERMANY.COM
MTS GREECE,MTSG,XMTS,WWW.MTSGREECE.COM
MTS IRELAND,IMTS,XMTS,WWW.MTSIRELAND.COM
MTS ISRAEL,RMTS,XMTS,WWW.MTSISRAEL.COM
MTS NETHERLANDS,AMTS,XMTS,WWW.MTSMARKETS.COM
MTS PORTUGAL,PORT,XMTS,WWW.MTSMARKETS.COM
MTS SLOVAKIA,SLKK,XMTS,WWW.MTSMARKETS.COM
MTS SLOVENIA,VMTS,XMTS,WWW.MTSSLOVENIA.COM
MTS SPAIN,SMTS,XMTS,WWW.MTSSPAIN.COM
ERSTE BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER,EBHU,EBHU,WWW.ERSTEBANK.HU
EBS MTF - RFQ - FOR ASSET MANAGERS TRADING FX PRODUCTS,EBSI,EBSN,WWW.EBS.COM
EBS MTF - RESET,RESE,EBSN,WWW.RESET.NET
EBS MTF - RFQ - FOR THE TRADING OF FX PRODUCTS,EBSD,EBSN,WWW.EBS.COM
EUREX OTC SPOT MARKET,EUSP,EUCH,WWW.EUREXREPO.COM
EUREX ZURICH,EUCH,EUCH,WWW.EUREXREPO.COM
EUREX REPO MARKET,EURM,EUCH,WWW.EUREXREPO.COM
EUREX CH SECLEND MARKET,EUSC,EUCH,WWW.EUREXREPO.COM
FINANTIA UK LIMITED - SYSTEMATIC INTERNALISER,FNUK,FNUK,
MEFF FX FINANCIAL DERIVATIVES,XMFX,BMEX,WWW.MEFF.ES
REFINITIV TRANSACTION SERVICES LIMITED - FORWARDS MATCHING,TRFW,RTSL,WWW.REUTERS.COM
UNICREDIT BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER,UCHU,UCHU,WWW.UNICREDITBANK.HU
CITIBANK N.A. LONDON,CBNL,CBNL,WWW.CITIGROUP.COM/CITI
FLOW TRADERS U.S LLC,FTUS,FTUS,WWW.FLOWTRADERS.COM
TULLETT PREBON SECURITIES - OTF - EUROPEAN GOVERNMENT BONDS,TEEG,TPSO,WWW.TULLETTPREBON.COM
BERENBERG - SYSTEMATIC INTERNALISER UK,BGUK,BGUK,WWW.BERENBERG.COM
VERTO MTF,CLVE,CLVE,WWW.CATLEYLAKEMAN.COM
"CLEARPOOL EXECUTION SERVICES, LLC - NATURAL LIQUIDITY ALLIANCE",NLAX,CPGX,WWW.CLEARPOOLGROUP.COM
"CLEARPOOL EXECUTION SERVICES, LLC",CPGX,CPGX,WWW.CLEARPOOLGROUP.COM
CITIBANK EUROPE PLC - SYSTEMATIC INTERNALISER,CEPL,CEPL,WWW.CITIGROUP.COM/CITI/
CITIBANK EUROPE PLC - LONDON BRANCH,CEPU,CEPU,WWW.CITIGROUP.COM/CITI
DEUTSCHE BANK SECURITIES INC.,DBAB,DBAB,WWW.DB.COM
OTC LINK ECN,OTCN,OTCN,WWW.OTCMARKETS.COM
REFINITIV TRANSACTIONS SERVICES LIMITED,RTSL,RTSL,WWW.REUTERS.COM
REFINITIV TRANSACTIONS SERVICES LIMITED - FXALL RFQ,TRAL,RTSL,WWW.REUTERS.COM
TD SECURITIES,TDGF,TDGF,WWW.TD.COM
UBS AG LONDON BRANCH - TRADING,UBSB,UBSB,WWW.UBS.COM
UBS EUROPE SE,UBSD,UBSD,WWW.UBS.COM
UBS PIN (EMEA),UBSE,UBSL,WWW.UBS.COM
UBS EUROPE SE - SYSTEMATIC INTERNALISER,UBSI,UBSL,WWW.UBS.COM
UBS EUROPE SE - TRADING,UBSL,UBSL,WWW.UBS.COM
WIENER BOERSE AG GEREGELTER FREIVERKEHR (SECOND REGULATED MARKET),WBGF,XWBO,WWW.WIENERBOERSE.AT
XETRA - FREIVERKEHR - OFF-BOOK,XETV,XETR,WWW.DEUTSCHE-BOERSE.COM
XETRA - SCALE - OFF-BOOK,XETW,XETR,WWW.DEUTSCHE-BOERSE.COM
XETRA - REGULIERTERMARKT - OFF-BOOK,XETU,XETR,WWW.DEUTSCHE-BOERSE.COM
BOERSE FRANKFURT - FREIVERKEHR - OFF-BOOK,FRAV,XFRA,WWW.DEUTSCHE-BOERSE.COM
BOERSE FRANKFURT - SCALE - OFF-BOOK,FRAW,XFRA,WWW.DEUTSCHE-BOERSE.COM
BOERSE FRANKFURT - REGULIERTERMARKT - OFF-BOOK,FRAU,XFRA,WWW.DEUTSCHE-BOERSE.COM
BANCO FINANTIA S.A. - SYSTEMATIC INTERNALISER,BFPT,BFPT,WWW.FINANTIA.PT
CONCORDE SECURITIES LTD. - SYSTEMATIC INTERNALISER,CONC,CONC,WWW.CON.HU
IRAN FARA BOURSE,IFBX,IFBX,WWW.IFB.IR
IPSX WHOLESALE,IPXW,IPSX,WWW.IPSX.COM
ZERO HASH,ZERO,SCXO,WWW.SEEDCX.COM
SEED SEF,SCXS,SCXO,WWW.SEEDCX.COM
SEED CX,SCXO,SCXO,WWW.SEEDCX.COM
SEED DIGITAL COMMODITIES MARKET,SCXM,SCXO,WWW.SEEDCX.COM
SYNOPTION,SYFX,SYFX,WWW.SYNOPTION.COM
STATE STREET BANK INTERNATIONAL FX - LONDON BRANCH - SYSTEMATIC INTERNALISER,SSIL,SSIL,WWW.STATESTREET.COM
TP ICAP EU - MTF - REGISTRATION,TPIR,TPIC,WWW.TPICAP.COM
"NYSE CHICAGO, INC.",XCHI,XNYS,WWW.NYSE.COM
"NYSE NATIONAL, INC.",XCIS,XNYS,WWW.NYSE.COM
MARKETAXESS NL B.V.,MANL,MANL,WWW.MARKETAXESS.COM
"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - OTHER LIQUIDITY PROVIDER (OLP)",CELP,CSOB,WWW.CSOB.CZ
BET OTC BILAT COMMODITY DERIVATIVES,BETX,BETX,WWW.BP.COM/EN/GLOBAL/TRADING/
BTL OTC BILAT COMMODITY DERIVATIVES,BTLX,BTLX,WWW.BP.COM/EN/GLOBAL/TRADING/
CASPY COMMODITY EXCHANGE,CCEX,CCEX,WWW.COMEX.KZ
BULGARIAN STOCK EXCHANGE - MAIN MARKET,ZBUL,XBUL,WWW.BSE-SOFIA.BG
TP ICAP UK MTF - CORPORATE BONDS AND SECURITIES DEBT,IMSB,ICPM,WWW.TPICAP.COM
AQUIS EXCHANGE EUROPE,AQEU,AQEU,WWW.AQUIS.EU
AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD),AQEA,AQEU,WWW.AQUIS.EU
AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD),AQXA,AQXE,WWW.AQUIS.EU
AQUIS EXCHANGE PLC,AQXE,AQXE,WWW.AQUIS.EU
BNY MELLON MARKETS EUROPE LIMITED,BKDM,BKDM,WWW.BNYMELLON.COM
BANCA NAZIONALE DEL LAVORO SPA - SYSTEMATIC INTERNALISER,BNLD,BNLD,WWW.BNL.IT
CAVENDISH MARKETS B.V.,CAVD,CAVD,WWW.CAVENDISHMARKETS.COM
GOLDMAN SACHS INTERNATIONAL PARIS BRANCH,GIPB,GIPB,WWW.GOLDMANSACHS.COM
GOLDMAN SACHS INTERNATIONAL PARIS BRANCH - SYSTEMATIC INTERNALISER,GSPX,GIPB,WWW.GOLDMANSACHS.COM
TP ICAP UK MTF,ICPM,ICPM,WWW.ICAP.COM
TP ICAP UK MTF - GILTS,IMGI,ICPM,WWW.ICAP.COM
TP ICAP UK MTF - INTEREST RATE DERIVATIVES,IMRD,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - EXCHANGE TRADED PRODUCTS,IMET,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - GOVERNMENT BONDS EXCLUDING GILTS,IMGB,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - MONEY MARKET INSTRUMENTS,IMMM,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - FX DERIVATIVES,IMFD,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - CASH EQUITY,IMCE,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - EQUITY DERIVATIVES,IMED,ICPM,WWW.TPICAP.COM
JUMP LIQUIDITY EU EQUITY PLATFORM,JLEU,JLEU,WWW.JUMPLIQUIDITY.COM
SMBC BANK EU AG - SYSTEMATIC INTERNALISER,SMFF,SMFF,WWW.SMBCGROUP.COM/EMEA/
SPAREBANK 1 SMN - SYSTEMATIC INTERNALISER,SPTR,SPTR,WWW.SMN.NO
ELIXIUM S.A.,ELXE,ELXE,WWW.ELIXIUM.COM
STANDARD CHARTERED BANK AG - SYSTEMATIC INTERNALISER,SCAG,SCAG,WWW.SC.COM/DE
"SG AMERICAS SECURITIES, LLC",SGAS,SGAS,WWW.SGCIB.COM
"SMALL EXCHANGE, INC - DESIGNATED CONTRACT MARKET",SMFE,SMFE,WWW.THESMALLEXCHANGE.COM
TRAD-X EUROPE,TRXE,TRXE,WWW.TRAD-X.COM
BULGARIAN STOCK EXCHANGE - INTERNATIONAL MTF,JBUL,XBUL,WWW.BSE-SOFIA.BG
MIZUHO BANK EUROPE N.V. - SYSTEMATIC INTERNALISER,MHBE,MHBE,WWW.MIZUHO-EMEA.COM
CITADEL SECURITIES FI - EUROPE - SYSTEMATIC INTERNALISER,CSGI,CSGI,WWW.CITADELSECURITIES.COM
CITADEL CONNECT EUROPE - EU - SYSTEMATIC INTERNALISER,EUCC,EUCC,WWW.CITADELSECURITIES.COM
BAYERNLB - EQUITIES MARKET,BLEQ,BLBB,WWW.BAYERNLB.DE
BANCA REALE - SYSTEMATIC INTERNALISER,BREA,BREA,WWW.BANCAREALE.IT
MTS CASH DOMESTIC - MTF,MCAD,MTSO,WWW.MTSMARKETS.COM
EBM - MTF,EBMX,MTSO,WWW.MTSMARKETS.COM
EURONEXT - EASY NEXT,ENXB,XBRU,WWW.EURONEXT.COM
EURONEXT DUBLIN,XMSM,XDUB,WWW.ISE.IE
EURONEXT GROWTH DUBLIN,XESM,XDUB,WWW.ISE.IE
MTS UK,UKGD,XMTS,
XTX MARKETS SAS,XTXE,XTXE,WWW.XTXMARKETS.COM
PRO SECURITIES ATS,BLUE,BLUE,
CME AMSTERDAM B.V.,BTAM,BTAM,WWW.NEX.COM
CME AMSTERDAM B.V. - APA,CABV,CABV,WWW.NEX.COM
"RAIFFEISENBANK, AS.  - SYSTEMATIC INTERNALISER",RFBK,RFBK,WWW.RB.CZ
TOWER RESEARCH CAPITAL EUROPE - SYSTEMATIC INTERNALISER,TOWR,TOWR,WWW.TOWER-RESEARCH.COM
BULGARIAN STOCK EXCHANGE - SME GROWTH MARKET BEAM,GBUL,XBUL,WWW.BSE-SOFIA.BG
BANCA PASSADORE - SYSTEMATIC INTERNALISER,BPAS,BPAS,WWW.BANCAPASSADORE.IT
FLOW TRADERS,FLWX,FLWX,WWW.FLOWTRADERS.COM
EURONEXT - TRADING FACILITY LONDON,TNLL,XLDN,WWW.EURONEXT.COM
BANQUE DE LUXEMBOURG - SYSTEMATIC INTERNALISER,BLUX,BLUX,WWW.BANQUEDELUXEMBOURG.COM
DEUTSCHE BANK LUXEMBOURG S.A.,DBLX,DBLX,WWW.DB.COM/LUXEMBOURG
DEUTSCHE HOLDINGS (LUXEMBOURG) S.A R.L.,DHLX,DHLX,WWW.DB.COM
K AND H BANK ZRT - SYSTEMATIC INTERNALISER,KHHU,KHHU,WWW.KH.HU
MACQUARIE CAPITAL (IRELAND),MCID,MCID,WWW.MACQUARIE.COM/UK
SMBC NIKKO CAPITAL MARKETS EUROPE GMBH,NCME,NCME,WWW.SMBCNIKKO-CM.COM
TURQUOISE PLATO,TRQM,TRQX,WWW.TRADETURQUOISE.COM
EURONEXT BLOCK 2,XBLK,XPAR,WWW.EURONEXT.COM
ISWAP EURO MTF,IPNL,IPNL,WWW.ICAP.COM
ISWAP EURO MTF - ORDERBOOK,ISWO,ISWP,WWW.ICAP.COM
ISWAP EURO MTF,ISWP,ISWP,WWW.ICAP.COM
ISWAP EURO MTF - TRADE REGISTRATION,ISWN,ISWP,WWW.ICAP.COM
ISWAP EURO MTF - TARGETED STREAMING / RFQ,ISWT,ISWP,WWW.ICAP.COM
MAREX SPECTRON EUROPE LIMITED - OTF,MSEL,MSEL,WWW.MAREXSPECTRON.COM
SMBC NIKKO CAPITAL MARKETS LIMITED - SYSTEMATIC INTERNALISER,NCML,NCML,WWW.SMBCNIKKO-CM.COM
FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFQ MTF,FXRQ,RMTF,WWW.REFINITIV.COM
FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FORWARDS MATCHING,FXFM,RMTF,WWW.REFINITIV.COM
BULGARIAN STOCK EXCHANGE - APA,PBUL,XBUL,WWW.BSE-SOFIA.BG
XP INVESTMENTS UK LLP,XPUK,XPUK,
CREDIT SUISSE AG,CSAG,CSAG,WWW.CREDIT-SUISSE.COM
EURONEXT ETF ACCESS,XETF,XPAR,WWW.EURONEXT.COM
GOLDMAN SACHS BANK EUROPE SE - SYSTEMATIC INTERNALISER,GSEI,GSBE,WWW.GOLDMANSACHS.COM
GOLDMAN SACHS BANK EUROPE SE,GSBE,GSBE,WWW.GOLDMANSACHS.COM
HRTEU LIMITED - SYSTEMATIC INTERNALISER,HREU,HREU,WWW.HUDSON-TRADING.COM
SUN TRADING INTERNATIONAL - SYSTEMATIC INTERNALISER,STSI,STSI,WWW.HUDSON-TRADING.COM
CREDEM BANCA - SYSTEMATIC INTERNALISER,CREM,CREM,WWW.CREDEM.IT
DEALERWEB FIXED INCOME,DWFI,DWFI,WWW.TRADEWEB.COM
BANK BGZ BNP PARIBAS S.A. - SYSTEMATIC INTERNALISER,BNPP,BNPP,WWW.BGZBNPPARIBAS.PL
COMMERZBANK  COMMODITY DERIVATIVES - SYSTEMATIC INTERNALISER,CBKC,CBKA,WWW.COMMERZBANK.COM
CIB BANK - SYSTEMATIC INTERNALISER,CIBH,CIBH,WWW.CIB.HU
"CREDIT SUISSE BANK (EUROPE), S.A.",CSMD,CSMD,WWW.CREDIT-SUISSE.COM
"CREDIT SUISSE BANK (EUROPE), S.A. - SYSTEMATIC INTERNALISER",SIMD,CSMD,WWW.CREDIT-SUISSE.COM
GRIFFIN MARKETS EUROPE,GMES,GMES,WWW.GRIFFINMARKETS.COM
GRIFFIN MARKETS EUROPE - OTF,GMEO,GMES,WWW.GRIFFINMARKETS.COM
QUINTET PRIVATE BANK (EUROPE) S.A. - EURO COMMERCIAL PAPERS,KBLC,KBLL,WWW.QUINTET.COM
QUINTET PRIVATE BANK (EUROPE) S.A. - STRUCTURED PRODUCTS,KBLS,KBLL,WWW.QUINTET.COM
QUINTET PRIVATE BANK (EUROPE) S.A. - FX TREASURY DERIVATIVES,KBLT,KBLL,WWW.QUINTET.COM
QUINTET PRIVATE BANK (EUROPE) S.A.,KBLL,KBLL,WWW.QUINTET.COM
MIZUHO BANK LTD. - PARIS BRANCH - SYSTEMATIC INTERNALISER,MHBP,MHBP,WWW.MIZUHOBANK.COM
MIZUHO SECURITIES EUROPE - SYSTEMATIC INTERNALISER,MHEU,MHEU,WWW.MIZUHO-EMEA.COM
"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S.",UBCZ,UBCZ,WWW.UNICREDITBANK.CZ
XETRA - SCALE,XETS,XETR,WWW.DEUTSCHE-BOERSE.COM
BOERSE FRANKFURT - SCALE,FRAS,XFRA,WWW.DEUTSCHE-BOERSE.COM
ATONLINE LIMITED - SYSTEMATIC INTERNALISER,ATLN,ATLN,WWW.ATONINT.COM
CBOE EUROPE - CXE ORDER BOOKS (NL),CEUE,CCXE,HTTP://MARKETS.CBOE.COM/EUROPE/EQUITIES/ABOUT/
LLOYDS BANK CORPORATE MARKETS WERTPAPIERHANDELSBANK GMBH - SYSTEMATIC INTERNALISER,LBCW,LBCW,WWW.LLOYDSBANK.COM
VIRTU CLIENT MARKET MAKING,VALX,VUSA,WWW.VIRTU.COM
A AND G BANCA PRIVADA SAU,AGBP,AGBP,WWW.ABANCA.COM
"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - SYSTEMATIC INTERNALISER",CESI,CSOB,WWW.CSOB.CZ
